country,country isocode,year,POP,XRAT,PPP,cgdp,cc,ci,cg,p,pc,pg,pi,openc,cgnp,csave,y,rgdpl,rgdpch,rgdpeqa,rgdpwok,rgdptt,openk,kc,kg,ki,grgdpch
Angola,AGO,1950,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angola,AGO,1951,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angola,AGO,1952,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angola,AGO,1953,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angola,AGO,1954,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angola,AGO,1955,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angola,AGO,1956,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angola,AGO,1957,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angola,AGO,1958,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angola,AGO,1959,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angola,AGO,1960,4816,0.028668441,0.005020874,542.6847646,76.75000712,8.840981333,9.452173976,17.51359216,13.07199525,24.0275627,49.10752962,36.97535974,.,13.79781891,18.7882976,2462.232896,2471.343979,3127.006666,5136.466808,2361.689159,31.33579421,72.86890726,11.54629473,6.963228339,.
Angola,AGO,1961,4884.19,0.028734859,0.004987657,564.374566,74.2340585,7.923454407,9.846315101,17.35751197,13.18042573,23.65435103,48.66726533,35.22815749,.,15.9196264,19.22740301,2595.018119,2598.44707,3290.65633,5417.86863,2428.625191,32.50923171,68.89259561,11.47156414,6.13465999,5.14307567
Angola,AGO,1962,4955.35,0.02867844,0.004954231,573.9425821,75.48489283,6.759607685,10.55358472,17.27510489,13.41371783,23.64871218,50.44448306,38.79253153,.,13.96152245,18.48138475,2617.892495,2614.365919,3310.467412,5470.507549,2446.125708,34.65629208,69.76397172,12.05302091,5.357229227,0.612629331
